dataset	caller	fold.id	training.error	optimal.param	test.error
137	H3K4me3_XJ_immune	hmcan.broad.default	1	51.8518518518519	2.30258509299405	45.8689458689459
138	H3K4me3_XJ_immune	hmcan.broad.default	2	50.9259259259259	2.30258509299405	48.1481481481481
139	H3K4me3_XJ_immune	hmcan.broad.default	3	48.6625514403292	2.30258509299405	54.320987654321
140	H3K4me3_XJ_immune	hmcan.broad.default	4	49.7625830959164	2.30258509299405	52.1604938271605
141	H3K36me3_AM_immune	hmcan.broad.trained	1	6.52014652014652	4.4	8.73015873015873
142	H3K36me3_AM_immune	hmcan.broad.trained	2	5.77673692427791	4.1	12.3376623376623
143	H3K36me3_AM_immune	hmcan.broad.trained	3	6.42857142857143	4.4	8.48861283643892
144	H3K36me3_AM_immune	hmcan.broad.trained	4	9.0702947845805	4.4	0.476190476190476
145	H3K36me3_TDH_immune	hmcan.broad.trained	1	22.0952380952381	4.7	14.2857142857143
146	H3K36me3_TDH_immune	hmcan.broad.trained	2	22.7743271221532	5.1	12.9251700680272
147	H3K36me3_TDH_immune	hmcan.broad.trained	3	12.6293995859213	4.7	47.6190476190476
148	H3K36me3_TDH_immune	hmcan.broad.trained	4	20.5513784461153	5.1	20.3463203463203
149	H3K36me3_TDH_other	hmcan.broad.trained	1	6.94444444444444	4.2	7.14285714285714
150	H3K36me3_TDH_other	hmcan.broad.trained	2	5.92105263157895	4.4	10.4166666666667
151	H3K36me3_TDH_other	hmcan.broad.trained	3	9.02777777777778	4.2	1.78571428571429
152	H3K36me3_TDH_other	hmcan.broad.trained	4	5	3.8	27.5
153	H3K4me3_PGP_immune	hmcan.broad.trained	1	32.5851103628881	2.5	35.8311800172265
154	H3K4me3_PGP_immune	hmcan.broad.trained	2	34.1640706126687	2.7	31.5343915343915
155	H3K4me3_PGP_immune	hmcan.broad.trained	3	34.8079561042524	2.5	29.6296296296296
156	H3K4me3_PGP_immune	hmcan.broad.trained	4	32.2089947089947	2.8	38.7654320987654
157	H3K4me3_TDH_immune	hmcan.broad.trained	1	25.1633986928105	2.9	25.4901960784314
158	H3K4me3_TDH_immune	hmcan.broad.trained	2	28.6324786324786	2.6	14.8148148148148
159	H3K4me3_TDH_immune	hmcan.broad.trained	3	22.7513227513227	2.9	30.2880658436214
160	H3K4me3_TDH_immune	hmcan.broad.trained	4	23.7570904237571	2.5	32.8888888888889
161	H3K4me3_TDH_other	hmcan.broad.trained	1	32.5842696629214	3.4	33.3333333333333
162	H3K4me3_TDH_other	hmcan.broad.trained	2	31.6190476190476	3.3	37.1875
163	H3K4me3_TDH_other	hmcan.broad.trained	3	34.1284403669725	3.4	27.8571428571429
164	H3K4me3_TDH_other	hmcan.broad.trained	4	32.8703703703704	3.4	32.7586206896552
165	H3K4me3_XJ_immune	hmcan.broad.trained	1	50	7	46.1538461538462
166	H3K4me3_XJ_immune	hmcan.broad.trained	2	50	5.2	46.8013468013468
167	H3K4me3_XJ_immune	hmcan.broad.trained	3	47.2222222222222	7	53.3333333333333
168	H3K4me3_XJ_immune	hmcan.broad.trained	4	48.7179487179487	7	50
169	H3K36me3_AM_immune	hmcan.default	1	27.8388278388278	2.30258509299405	33.5978835978836
170	H3K36me3_AM_immune	hmcan.default	2	24.6682279469165	2.30258509299405	41.3419913419913
171	H3K36me3_AM_immune	hmcan.default	3	30.3968253968254	2.30258509299405	25.6728778467909
172	H3K36me3_AM_immune	hmcan.default	4	33.4089191232048	2.30258509299405	15.4761904761905
173	H3K36me3_TDH_immune	hmcan.default	1	62.2857142857143	2.30258509299405	78.0952380952381
174	H3K36me3_TDH_immune	hmcan.default	2	68.1159420289855	2.30258509299405	54.421768707483
175	H3K36me3_TDH_immune	hmcan.default	3	64.3892339544513	2.30258509299405	66.6666666666667
176	H3K36me3_TDH_immune	hmcan.default	4	65.1629072681704	2.30258509299405	64.5021645021645
177	H3K36me3_TDH_other	hmcan.default	1	45.8333333333333	2.30258509299405	57.1428571428571
178	H3K36me3_TDH_other	hmcan.default	2	57.2368421052632	2.30258509299405	22.9166666666667
179	H3K36me3_TDH_other	hmcan.default	3	45.1388888888889	2.30258509299405	58.9285714285714
180	H3K36me3_TDH_other	hmcan.default	4	47.5	2.30258509299405	55
181	H3K4me3_PGP_immune	hmcan.default	1	27.3101384212495	2.30258509299405	30.0602928509905
182	H3K4me3_PGP_immune	hmcan.default	2	29.6642436829353	2.30258509299405	23.4920634920635
183	H3K4me3_PGP_immune	hmcan.default	3	28.4979423868313	2.30258509299405	27.0152505446623
184	H3K4me3_PGP_immune	hmcan.default	4	27.0833333333333	2.30258509299405	32.0987654320988
185	H3K4me3_TDH_immune	hmcan.default	1	23.1663035584604	2.30258509299405	25.4901960784314
186	H3K4me3_TDH_immune	hmcan.default	2	26.0327635327635	2.30258509299405	16.3194444444444
187	H3K4me3_TDH_immune	hmcan.default	3	23.1176231176231	2.30258509299405	25.0205761316872
188	H3K4me3_TDH_immune	hmcan.default	4	22.655989322656	2.30258509299405	28.5925925925926
189	H3K4me3_TDH_other	hmcan.default	1	29.7752808988764	2.30258509299405	32.9166666666667
190	H3K4me3_TDH_other	hmcan.default	2	30.8571428571429	2.30258509299405	30.9375
191	H3K4me3_TDH_other	hmcan.default	3	30.0917431192661	2.30258509299405	33.9285714285714
192	H3K4me3_TDH_other	hmcan.default	4	32.5925925925926	2.30258509299405	24.4827586206897
193	H3K4me3_XJ_immune	hmcan.default	1	38.9863547758285	2.30258509299405	33.3333333333333
194	H3K4me3_XJ_immune	hmcan.default	2	39.0740740740741	2.30258509299405	31.986531986532
195	H3K4me3_XJ_immune	hmcan.default	3	36.1111111111111	2.30258509299405	40.9876543209877
196	H3K4me3_XJ_immune	hmcan.default	4	35.8974358974359	2.30258509299405	42.9012345679012
197	H3K36me3_AM_immune	hmcan.trained	1	9.96336996336996	4.5	21.4285714285714
198	H3K36me3_AM_immune	hmcan.trained	2	10.6947697111632	4.5	17.3160173160173
199	H3K36me3_AM_immune	hmcan.trained	3	12.6984126984127	4.6	11.5942028985507
200	H3K36me3_AM_immune	hmcan.trained	4	15.9486016628874	4.6	1.19047619047619
201	H3K36me3_TDH_immune	hmcan.trained	1	31.047619047619	4.8	27.6190476190476
202	H3K36me3_TDH_immune	hmcan.trained	2	32.0910973084886	5	18.3673469387755
203	H3K36me3_TDH_immune	hmcan.trained	3	22.7743271221532	5	48.9795918367347
204	H3K36me3_TDH_immune	hmcan.trained	4	28.5714285714286	5.1	29.4372294372294
205	H3K36me3_TDH_other	hmcan.trained	1	18.0555555555556	4.1	30.3571428571429
206	H3K36me3_TDH_other	hmcan.trained	2	17.1052631578947	5.2	41.6666666666667
207	H3K36me3_TDH_other	hmcan.trained	3	25	4.7	14.2857142857143
208	H3K36me3_TDH_other	hmcan.trained	4	14.375	4.2	45
209	H3K4me3_PGP_immune	hmcan.trained	1	27.3101384212495	2.3	29.6296296296296
210	H3K4me3_PGP_immune	hmcan.trained	2	29.1450328833506	2.7	25.0793650793651
211	H3K4me3_PGP_immune	hmcan.trained	3	28.360768175583	2.3	26.9063180827887
212	H3K4me3_PGP_immune	hmcan.trained	4	26.8849206349206	2.3	32.2222222222222
213	H3K4me3_TDH_immune	hmcan.trained	1	21.7138707334786	2.9	25.8169934640523
214	H3K4me3_TDH_immune	hmcan.trained	2	25.3917378917379	2.6	13.7731481481481
215	H3K4me3_TDH_immune	hmcan.trained	3	21.1640211640212	2.9	25.9259259259259
216	H3K4me3_TDH_immune	hmcan.trained	4	21.6216216216216	2.6	27.2592592592593
217	H3K4me3_TDH_other	hmcan.trained	1	25.3932584269663	3.1	29.375
218	H3K4me3_TDH_other	hmcan.trained	2	26.1904761904762	3.2	29.375
219	H3K4me3_TDH_other	hmcan.trained	3	27.3394495412844	3.1	24.6428571428571
220	H3K4me3_TDH_other	hmcan.trained	4	27.8703703703704	3.1	22.7586206896552
221	H3K4me3_XJ_immune	hmcan.trained	1	38.4990253411306	2.3	32.7635327635328
222	H3K4me3_XJ_immune	hmcan.trained	2	38.4259259259259	2.3	31.986531986532
223	H3K4me3_XJ_immune	hmcan.trained	3	35.6995884773663	2.3	40.2469135802469
224	H3K4me3_XJ_immune	hmcan.trained	4	35.4226020892688	2.3	42.2839506172839
225	H3K36me3_AM_immune	homer.default	1	24.4688644688645	0	31.4814814814815
226	H3K36me3_AM_immune	homer.default	2	21.623731459797	0	38.0952380952381
227	H3K36me3_AM_immune	homer.default	3	27.3015873015873	0	22.5672877846791
228	H3K36me3_AM_immune	homer.default	4	30.5366591080877	0	11.6666666666667
229	H3K36me3_TDH_immune	homer.default	1	53.9047619047619	0	70.4761904761905
230	H3K36me3_TDH_immune	homer.default	2	62.5258799171843	0	37.4149659863946
231	H3K36me3_TDH_immune	homer.default	3	54.2443064182195	0	64.6258503401361
232	H3K36me3_TDH_immune	homer.default	4	56.140350877193	0	57.5757575757576
233	H3K36me3_TDH_other	homer.default	1	47.2222222222222	0	53.5714285714286
234	H3K36me3_TDH_other	homer.default	2	53.2894736842105	0	35.4166666666667
235	H3K36me3_TDH_other	homer.default	3	51.3888888888889	0	42.8571428571429
236	H3K36me3_TDH_other	homer.default	4	44.375	0	67.5
237	H3K4me3_PGP_immune	homer.default	1	25.7388701833146	0	24.1171403962102
238	H3K4me3_PGP_immune	homer.default	2	25.822083766009	0	23.4920634920635
239	H3K4me3_PGP_immune	homer.default	3	25.6858710562414	0	23.8562091503268
